ID,X,Y,A,B,theta,total_flux,mu_max,mu_median,mu_mean,R_fwhm,R_e,R10,R90,x_start,x_end,y_start,y_end,area,greylevel
651,143.29377593360996,846.2962655601659,4.653907547859619,3.194434433992996,-0.07072066667744208,1205.0,10.0,4.0,4.070945945945946,6.180387232371033,4.853342309955121,1.9544100476116797,7.735777827895049,131,153,838,854,296,8.070945945945946
652,967.4351145038167,841.642748091603,8.631582363137968,4.24931699762556,-0.2663367409700885,655.0,6.0,2.0,2.3731884057971016,6.257165172872317,5.352372348458314,1.8712051592547776,8.07796550300118,953,983,833,854,276,7.3731884057971016
653,189.71698113207546,833.0957910014514,7.280650038981012,3.1680256098767092,0.6062599120763293,689.0,7.0,2.0,2.5145985401459856,4.442433223290478,4.886025119029199,1.7841241161527712,7.837972188868215,177,207,824,847,274,8.514598540145986
654,290.30939226519337,843.9834254143647,3.1631559390489827,1.6861783997461413,0.04242108165572096,181.0,4.0,2.0,1.946236559139785,4.259537945889915,2.876813695875796,1.1283791670955126,4.478115991081385,284,299,840,847,93,6.946236559139785
655,635.5504587155963,845.9816513761468,2.760136791042677,1.5039247533401534,0.545984809010863,109.0,5.0,2.0,2.2244897959183674,2.111004122822376,2.0342144725641096,0.7978845608028654,3.431831258788849,632,642,841,850,49,5.224489795918367
656,164.9090909090909,845.125,2.2266925566129045,1.7664154445528508,1.0597228238078646,88.0,3.0,1.0,1.375,2.8209479177387813,2.326213245840639,0.7978845608028654,3.826519928662906,161,169,840,850,64,6.375
657,82.49514563106796,847.6310679611651,2.2870309618119453,1.8034098270752112,-0.3868027312841982,103.0,3.0,1.0,1.1573033707865168,3.0382538898732494,2.5231325220201604,0.9772050238058398,4.1073621666150775,76,87,843,852,89,7.157303370786517
658,790.5783132530121,842.4843373493976,5.0726953333503255,1.8445453711231705,-1.016507847464569,415.0,7.0,3.0,2.9225352112676055,3.9088200952233594,3.656366395715726,1.381976597885342,5.781222885281108,784,797,834,853,142,5.922535211267606
659,225.4906474820144,860.6302158273381,3.2303948667145104,3.0682913565492034,0.9914851928148263,695.0,10.0,3.0,3.4236453201970445,4.259537945889915,3.8678889139475245,1.4927053303604616,6.530966601401967,217,234,853,869,203,7.4236453201970445
660,689.9570552147239,856.9570552147239,2.322981247862115,1.697727363823839,0.40253453809142536,163.0,4.0,2.0,2.232876712328767,3.9088200952233594,2.5854414729132054,1.1283791670955126,3.9088200952233594,685,695,853,861,73,10.232876712328768
661,550.0441176470588,855.4138655462185,3.179696083548772,2.5250674495263974,-0.06924090157862402,476.0,9.0,3.0,3.352112676056338,3.431831258788849,3.5682482323055424,1.381976597885342,5.753627391751592,544,557,850,860,142,7.352112676056338
662,407.1180811808118,848.1771217712177,4.636464593762903,2.0420719638362432,-0.5676667751187116,271.0,5.0,3.0,2.9456521739130435,4.370193722368317,3.2410224072142872,1.2615662610100802,4.853342309955121,401,415,844,856,92,6.945652173913044
663,724.2428571428571,852.1714285714286,1.884581913839715,1.2884035326912733,1.185840579564341,70.0,4.0,1.0,1.5217391304347827,2.5854414729132054,1.7841241161527712,0.5641895835477563,2.985410660720923,721,727,849,858,46,8.521739130434783
664,750.9579831932773,851.4789915966387,3.033008508170322,2.0079456918741907,1.570154022507738,238.0,4.0,2.0,2.087719298245614,4.61809077155419,3.0901936161855166,1.2615662610100802,4.982787485166879,747,755,845,859,114,7.087719298245614
665,855.4654545454546,866.0836363636364,5.8315144114161965,1.3371531372378525,1.5617333532667768,275.0,5.0,1.0,1.5536723163841808,4.029119531035698,3.385137501286538,1.381976597885342,5.890312181373172,852,859,853,879,177,5.553672316384181
666,481.89622641509436,852.9264150943396,5.540328133194256,3.613378614191274,-0.05294648878921049,1060.0,8.0,2.0,2.888283378746594,6.770275002573076,5.262410103554244,2.0342144725641096,8.368283871884005,470,495,839,860,367,6.888283378746594
667,35.438709677419354,860.1935483870968,4.111962137823904,1.9961014160051616,-0.4033510828311205,155.0,3.0,1.0,1.3135593220338984,3.6125759969217834,3.2410224072142872,1.2615662610100802,5.292567428401227,26,43,856,866,118,6.313559322033898
668,766.9851851851852,864.2740740740741,2.3301415985282534,1.5149600832871692,-0.5952002360485642,135.0,5.0,2.0,2.076923076923077,2.6462837142006137,2.393653682408596,0.7978845608028654,3.826519928662906,763,772,860,868,65,6.076923076923077
669,55.69803063457331,870.4212253829322,4.635563028674041,3.1168080943002767,0.7189554006574789,914.0,8.0,4.0,3.9912663755458517,6.579524642479541,4.853342309955121,1.9544100476116797,7.356132180109627,47,63,863,879,229,6.991266375545852
670,721.9702970297029,871.7581329561527,5.187661211823848,2.4196724319288667,-0.5481173097256773,707.0,12.0,3.0,3.5888324873096447,3.8678889139475245,3.656366395715726,1.381976597885342,6.457444935117649,708,729,863,879,197,8.588832487309645
